icd10_code,text
I,transmural infarto infarto posterobasal aguda pared onda onda q onda septal q transmural aguda infarto aguda transmural lateral q
S,seccion izquierda
F,trastorno opioide alucinacion
C,tipo leucemia b
A,infeccion inferiores a genitourinario
D,coroidea neoplasia
R,comatoso ambulancia extension recogida
R,glasgow coma llegar 9 escala
O,organo atencion deformidad pelvico materna
W,maquinaria agricola llevada animal
K,diverticulitis yeyunales parte
J,neumonitis staphylococcus
E,hgprt deficiencias
F,medular transfusion trastorno
C,facial frenillo interna inferior tumor adenocarcinoma
P,500 gestacional nacimiento bajo recien
R,fatiga cronica
F,cronico depresiva
O,sangrado sanguineo desangrado
H,lagoftalmos izquierdo
U,secuela covid
Q,ureter
U,relacionado lesion
Z,produccion osea sanguineas hierro anemia normocitica normocromica trastorno
Q,sistema nervioso malformacion congenita
O,grasa tromboembolismo embolo
U,viral no
I,miopericarditis reumatica cronico neumopericarditis pericardica persistente posinfeccioso
A,viral intestinal
V,transporte transporte pesado contacto inicial ocupante lesionado accidente
Q,ureteres obstrucciones
R,concentracion atencion atencion deficit
L,redonda sensibilidad
O,cavidad 1 fetal no feto
Z,exposicion vibracion
D,gen protrombina mutacion
K,retraccion generalizada
I,vasos ulcus inflamatoria tumoracion bajo venosa izquierdo
P,ureter tono
Z,miembros ausencia postraumatica
L,flemon derecha superior
M,izquierdo
S,hombros seccion no superficial
M,cadera
F,trastorno alcohol alcohol
E,derecho macular diabeticas ocular
H,nistagmus
U,afeccion covid 19 pos
P,seroso vacunacion
U,vapeo relacionado
N,hematosalpinx seudofolicular
R,inferiores izquierdo a dolor
Z,vacunacion linfocitos ureteral
V,accidente segway accidente hoverboard
H,posinflamatorias postraumaticas cicatricial izquierdo macula polo
Q,hereditario linfedema virus
H,bilateral queratopatia banda
G,parkinsonismo
O,preeclampsia edematoso hipertensivos parto
A,cualquier febriles catarro
L,ulcera trofica
R,sintomas signos
S,fisaria ii izquierdo perone salter extremo fracturas
K,recidivada femoral
I,coagulo embolos trombosis vena safena interna externa ambos
A,coli escherichia escherichia tracto coli enteroinvasiva
J,a pulmonar necrosis staphylococcus staphilococo aureus especies estafilococos pantonvalentine productor pantonvalentine leucocidina necrosis hemorragica meticilina
Y,onda expansiva guerra operaciones aerea
C,cuadrante externo derecha superior maligna
S,herida
S,izquierdo pie fracturas
W,objeto tropiezo contacto resbalon inicial posterior choque
Q,facial congenito compresion compresion
P,taponamiento
C,cutanea mamaria merkel maligno
F,perdida
E,ambos operculo
M,osteofito
M,musculos
L,vitiligo vitiligo
K,poliposis intestinal colon inflamatorios
Q,especificadas congenitas circulatorio
C,sarcoma celulas celulas dendriticas interdigitante dendriticas folicular sarcoma
H,parpado especificado blefaritis escamosa
G,calloso marchiafava
F,hipnoticos ansiolitico
N,segmentarias granulomatosa
V,esqui furgoneta camioneta
T,fallo
R,alteraciones cromosomicas deteccion muestras femeninos
I,edema
J,respiratoria tracto agudo
B,nodulo seudovacuna ordeñadores
S,derecho insecto
N,vesicoureteral hidroureter reflujo nefropatia reflujo
S,diafisario derecho
G,tipo dominante lado izquierda
Z,cuidados despues cirugia posteriores
U,secuela 19 co vid
L,parte gravedad
Q,dedo ausencia s ambos
G,paralisis nervio peroneo dcho
N,enterradoas congenito
J,aire escape postoperatorio
E,hurler mucopolisacaridosis scheie
Q,faringe faringea faringea
C,derecho metastasico maligna
G,otra reaccion puncion dural dolor cabeza puncion lumbar
N,sindrome proliferativa nefritico endocapilar difusa
Z,35 donante receptor ovocito
E,hipoglucemia
Z,familiar vejiga personal neoplasia riesgos salud historia potenciales afecciones tumor neoplasia
E,complicaciones endocrino
F,ansiedad reaccion ansiedad generalizada
P,nacimiento higado
R,dolorido
P,neom abduccion
J,hipercapnica fallido cronico
S,otra picadura superficial
R,erupcion roseola erupciones cutaneos rosa
A,biotipo colera 01 biotipo a vibrio
E,trastorno tiroidea
Q,anormalidades cromosoma cromosomal sexual fenotipo femenino
R,bipedestacion bipedestacion
P,recien hipoalimentacion hipoalimentacion
I,radial superiores bilateral
H,pterigion derecha
Y,nivel alcoholemia mg100 ml
B,sealpox sealpox
V,motorizado
F,malformacion inducido alucinogenos
N,defectuoso orina estoma
Z,afecciones c51c63 clasificables
L,exfoliacion eritematosas afecciones
K,necrotizante enterocolitis
P,materna afectado recien muerte
F,lesiones fobia fobias
Z,materna contacto cribado depresivo
N,prostata congestion hemorragia
H,izquierdo seroma
B,diseminada mucormicosis mucormicosis generalizada
M,apofisitis acrostealgia izquierdo
M,izquierdo tobillo blando tejido
E,trastorno megadosis vitamina b6
J,laringe estenosado estenosado
Q,osteogenesis imperfecta osteogenesis
O,feto iv a parto nalgas presentacion
H,coroidea degeneracion
N,introital
N,mama trastornos otros
K,ulceracion ulcerante hematoma gastroyeyunal agudo
M,osteonecrosis hombro farmacos izquierdo
C,tabla complicacion trasplantado trasplante trasplantado trasplantes
P,adulto
C,neoplasia localizaciones genitales femeninos maligna organos contiguas
I,arteriosclerotico bilateral estenosis arteriolas vasculares
D,craneofaringeo neoplasia benigna conducto
P,infeccioso oportunista infecciosa
M,artritis localizaciones reumatoide multiples miopatia
J,asma asmatico
S,osteoarticulares carpo traumatica derecho
F,consumo multiples sustancias toxicas consumo drogas indiscriminado
I,sanguineo desangrado sangrado
C,oseas maligna neoplasia metastasicos secundaria
G,ciliar
O,hemolisis plaquetopenia preeclampsia
P,hipertiroidismo hipertiroidismo neonatal
C,escamosas carcinoma piel tronco celulas
L,sitios otros bacteriana piel pseudomonas infeccion infeccion causada pseudomonas
L,divieso manos manos foliculitis
Q,pierna bilateral
G,interdigital izquierda inferiores extremidad neuroma
Q,estenosis supravalvular
Z,kilogramos metro cuadrado imc masa
D,espinales
G,lesiones derecho radial
R,hipoproteinemia urinary system aislada
U,covid afeccion
H,ocular globo moderado estadio a glaucoma
P,isquemica ehi hipoxica grave
G,infectado
S,muñecas anular fascia otro traumatismos extensor musculo dedos nivel mano izquierdo
O,continua gestacion abortos despues
R,craneo encefalico traumatica ocupante espacio
M,articulacion
O,membranitis
I,encefalopatia encefalopatia cerebrovasculares hipertensivo
P,ictericia parto prematuro asociada
K,odontogenico blandos mandibula
Q,lado derecho
N,inflamacion oportunista abscesos
O,trimestre maligna neoplasia embarazo complica
E,aldosteronismo
G,otros tipos
Z,historia sexo reasignacion reasignacion
K,eritematoso gastropatia gastritis
M,osteoarticulares
I,estrechez
L,abdominal pared
O,complican vaginalis
H,linfocitos quiasma inflamatorio sanguinea ureter
P,neumopericardio
D,hemoliticas anemias
Z,deseado ilegitimo problemas
P,daño cerebro
F,intoxicacion debidos percepcion
N,flemon aguda cronico mama
T,toxemia corporal corrosiones quemadura localizacion dcho
S,esguince izquierdo dedo
N,otros tracto calculos
N,urinarias cistitis tracto
K,diarrea
L,ulcerativa tropical
O,diabetes preexistente parto
G,dolorido postoracotomia
E,proteica secuelas malnutricion calorico
J,daño despues transfusion reaccion congenito incompleta anormal
J,paroxistica alergico superiores
M,brote gota ataque gota
F,tradicionales remedios hierbas remedios
P,acidemia metabolica
G,hemicranea paroxistica
P,perinatal especificados especificas
P,recien maternas afectado patologias
D,antineoplasica antineoplasica anemia
S,pie lateral derecho
S,articulares luxacion glenohumeral
N,atrofia ovario adquirida
J,sinusitis agudo
L,transfusion
Y,orfanato casa acontecimiento lugar causa externo
P,amniocentesis recien nacido afectado hemorragia anteparto
M,neuropatia artritis reumatoide reumatoidea ciclicos falanges anticcp anticuerpos l artritis reumatoide izquierdo metacarpo peptidos citrulinados
P,explicito envenenamiento see fumador tabaquismo sospecha
F,episodios unico depresion mayor episodio unico depresion psicogena
B,enfermedades virus humana hiv inmunodeficiencia
P,esclerema subcutaneo tejido necrosis esclerema recien necrosis neonatal esclerema nacimiento
U,afeccion pos covid 19
X,lesiones intencionadamente
M,coloide retencion
T,90 llamaradiacion
N,trastornos menopausicos otros trastornos perimenopausicos debidos cambios menopausicos perimenopausicos naturales relacionados edad
R,epigastrico dispepsia epigastrico
J,irritacion cronico bronquitis
L,estadio presion sacra
J,nasobronquial nasofaringitis nasofaringeo rinofaringitis
A,bacterianas
L,colagenosis reactiva
B,citomegalovirus
H,angulo
E,metabolico
T,a asfixia sofocacion mecanica
G,parkinson paralisis parkinsonismo agitante enfermedad parkinson
K,gangrena esofagico diafragmatica
D,ovario conducta izquierdo incierto
O,urinarias membranas especificado
K,ileo estenosis completa otra
R,deterioro importante circulacion periferica
T,aortico sustitucion injerto
N,difuso proliferativa nefritico glomerulonefritis progresivo
Z,admision extraccion profilactica organos
E,diabeticas quimica
O,discrepancia
L,ganglios cabeza cervicales inflamacion
U,19 pos afeccion
F,cocaina sexual consumo disfuncion
C,oido conducto externo carcinoma derechos cutaneos auditivo
P,germinal desangrado hemorragia subependimaria sin extension intraventricular intracerebral 1 intraventricular
Z,drenajes contacto extraccion drenajes cambio
N,cicatrizacion pelvis endometriosis
U,covid pos 19
F,hipnoticos precisa sedantes
H,anterior estafiloma ambos
L,tobillo ulcerativa cronico cutaneas extremidad inferiores ulcerativa tropical dcha
Z,resistente fluoroquinolonas quinolonas
B,esporotricosis meningitis
U,vapping
Y,operacion perdigones fuego inicial contacto guerra militar
J,lipido lobulos
Q,quistico
N,cervix
I,tras derecha hemorragia dominante intracraneal
N,uretral trastorno
J,febriles origen atrofico rigidez
P,carpopedal magnesio tetania tetania
U,covid afeccion pos
C,neoplasico mastocitos
E,mellitus subyacente
E,enfermedad timo
M,artritis muñecas reumatoidea izquierda
C,mieloide recidiva
N,dispareunia
R,puntuacion nihss 40
D,izquierdo in superior parpado incluyendo situ carcinoma
S,cavidad inferiores peritoneal dcho
J,complicaciones otras
M,hombro reactivas infecciosas artropatias derecho
G,urinarias
G,crisis comiciales parcial focal localizacion crisis sindromes epilepticos relacionada intratable localizado idiopatica
F,aplicado trastorno a mismo sintomas combinados
O,vasos implantacion hemorragicas
I,inflamatoria izquierdo
A,actinomyces gastrointestinal abdomen actinomicotico
H,escleral bilateral
I,desangrado sanguineo
G,plexos bajo clasificadas raices nerviosos compresiones enfermedades otro concepto
Y,inicial intencion contacto calientes objetos
Q,hidrotorax pleurales edema pleura seroso edema
Z,vacunacion alergica completo
D,insuficiencia aplasicas
L,tejido especificadas tipos infecciones
D,congenita lipomixoma benigna
E,multiples nutricionales multiples carencia
A,nefropatia intersticial difterica tubulo
J,traqueobronquitis coxsackie
H,coriorretinianas otras
J,escape
G,cerebral perdida fuerza paraliticos c7 sindromes
R,presente hallazgo carinii nodulo pulmonar
N,izquierdo empiema
I,izquierda isquemia intermitente
P,neumonitis inflamatorio intoxicacion
Q,piel orina
P,temperatura recien especificos otros trastornos
Q,respiratoria incompleto organo respiratorias
S,trauma dcha
R,hallazgos anormales secrecion frotis vulva uterino escamosas
O,principal osea agravadas complican embarazo atencion razon afecciones ven obstetrica gestacion
A,disenteria amebiana
L,nalga tejido destructivo
O,trimestre tercer anticonceptivo
I,vulva vulva
L,tatuaje pigmentado
Q,benigna labios hendido congenito
B,viral
M,detencion epifisaria epifisario
G,dcha cubital
K,alergica ureteral
Q,adquirida peneana torsion
M,hueso aseptica idiopatica cadera necrosis dcho
L,neom izq
D,hemorragicas purpura afecciones coagulacion
U,pos 19 covid afeccion
S,mayor fracturas multiangular derecho
D,neuroendocrinos tumores tumores benignos excepto benignos
I,trombo ambos agudas embolia vena
R,scanning metabolica tiroideo tiroides
E,complicado
J,cronica bronquitis cronico traqueobronquitis
H,ambos deterioro ambos visual 9 categoria ojos
Q,valvula congenita aortica aortica fallo bicuspide
R,puntuacion
K,estreñimiento irritable sindrome intestino
N,cuadrante especificado no nodulo izquierda mamaria
F,psicoticos deprimido
P,pulmon ventilacion inadecuacion
H,opacidad periferica cornea ojo
F,trastornos inducidos abusivo opiaceos opioide tipos
P,virus zika enfermedad zika virus togaviridae zika zika
P,meconio
M,osteocondrosis adulto vertebra
S,pies s abrasion dedos menor derecho
J,nasal
P,hidropesia hemolitica a fetal
E,bilateral diabetica diabeticas retinopatia edematoso
Q,uterus infantile uterine
I,trombosis pantorrilla inferior coagulo trombo izq
B,diseminado zoster herpes
S,traumatismos vasos intercostales
U,secuela covid
S,pared peritoneal corte cavidad cuadrante
H,asociado presion
U,covid 19 afeccion pos
L,extremidad
C,neoplasia maligna extrahepatica extrahepatica
E,tipos complicaciones otras mellitus otros diabeticos especificados
H,izquierda ureteral
F,inhalantes abuso
O,placenta trimestre
U,covid
O,placentas gemelar sacos gestacion amnioticos dos dos
K,faringoesofagica barret displasia
O,involuntario infeccion
O,atencion materna relacionada feto cavidad amniotica posibles problemas parto
H,izquierdo
U,covid 19
E,hiperuricemia asintomatica
N,puerperio renal
L,ulcerativa presion vias cicatricial gluteo izquierda estadio
G,facioescapulohumeral fascioescapulohumeral erb fascioescapulohumeral facioescapulohumeral musculares
K,artrofibrosis
H,desprendimiento globo ocular derecho coroideo
F,atencion atencion predominio falta tipo hiperactividad malformacion carencia
N,concepto trastornos otro esquistosoma parasito esquistosoma oriental sangre platija trastorno
I,biologico autologo
R,linea neurologico media positivos desplazamiento signo brudzinski positivos
N,estoma hemorragia incontinente orina
S,izquierda seccion
O,embarazo 3o complicaciones 4 especificadas trimestre
H,congestion derecho periorbitaria
N,asociada
M,colapsada concepto vertebral colapsada
E,hiperamonemiahiperornitinemiahomocitrulinemia transcarbamilasa ornitina hiperornitinemia ornitinemia homocitrulinemia ornitinatranscarbamilasa ornithinemia
K,antral hipertrofia hipertrofica
Z,asistencia hogar
N,ablacion genital mujer mgf
L,lingangitis izquierdo celulitis padrastro
C,extraganglionares solidos difusa
P,cordon afectado umbilical nacido
S,muñon
G,epileptico
U,edema sarscov2 vacunacion coronavirus
S,cubito contacto
L,cicatrizar
T,accidental medicinales gases envenenamiento inicial contacto
A,listeria
L,inflamatorio onfalitis inflamacion inflamado
S,ambos desgarro
B,pectoris trastorno
E,retinopatia mellitus diabetes diabetica tipo
K,caries premolar primera infancia caries incisivo
V,ocupante
A,polineuritica polineuritica polineuritis difteria polineuritis
S,luxacion articulares humerocubital derecha
Z,ojos ajuste derecha
C,maligna testiculo dcha descendido
F,delirantes delusiones
K,enfermedades
G,inducido temblor farmacos
G,craneal inflamacion
O,primigravida
C,acustico nervio neoplasia carcinoma
C,paget mamario paget pezon enfermedad izquierdo mamario enfermedad conjuntivo adenocarcinoma tejido
V,inicial ruedas
Q,bajo otro seudohermafroditismo concepto
U,19 neumonitis
G,tallo desmielinizacion
J,enfermedades pleural
Q,supravesical urinaria
E,tirosinasa albinismo
O,otros enredos
C,fungoide micosis
M,necrosis escafoides avascular
A,treponema pallidum
S,nivel sequard cervical c1 trastorno espinal a
C,predominio linfocitico hodgkin linfoma nodular bazo
U,covid
D,nevus partes benigno epidermico otras
G,tardia izquierda paresia nervio cubital
J,quirurgico estenosis
Q,congenita malformaciones subluxacion
I,tipo izquierda
G,generalizado epilepticos
I,complicaciones otras izquierda
L,queloides
U,covid19 bronquitis
L,sebaceo cock lupia
I,ambos embolos ateromatosa
B,comatoso
D,testiculo
C,maligna localizacion lado
K,inflamatorios colon intestinal polipos
H,entropion cicatricial paralitica izquierdo
M,derecho otro
E,rasgadas merrf
Q,derecho vaginal
P,bilirrubina congenita
H,izquierdo escleritis
G,afecta a lado no hemiplejia
B,toxoplasma oftalmia
K,fisurada
P,morfologicas recien funcionales
Z,otros fragmentos lesion retenidos
Z,desempleo
M,localizaciones inducida gota
G,encefalopatia
I,tobillo s izquierda ulceracion derivacion
S,articulares laceracion
M,quistico
I,varicoso cirsoide adquirido
L,ulceracion cronica superficie plantar mediopie derecho
V,contacto bordo velero inicial exposicion a
K,obstruccion calculo cronica
H,inconsciencia comatoso dcho
G,olfatorio olfatorio nervio
L,parte cronica ulcera otra pie
N,persistente recidivante glomerulonefritis mesangiocapilar difuso
L,cronico infeccioso persistente
I,extremidades tipo derivacion extremidad necrosis injerto aterosclerosis s
G,lumbar cuero cabelludo
M,derecho
N,genital mujer
M,c6 lesion cervical radiculopatia disco c7 a
A,sifilitica hereditaria atricosis alopecia
E,lipedema
E,hipotiroidismo generalizado postinfeccioso postinfeccioso
W,accidental arma contacto
E,diabeticas mellitus inducida farmaco sustancia quimica retinopatia diabetica bilateral
E,geneticos derecho
L,iv presion codo izquierdo estadio ulcera
V,camioneta baja
O,infeccion terminacion interrupcion orina
J,gripe neumonia
N,bulto derecha cuadrantes mama
R,anormales citologicos femeninos resultados otros genitales muestras
Q,perdida aorta
K,concrecion esfincteritis
X,acrotrofodinia
P,recien nacida edad gestacional 40 semanas completadas 42 semanas completadas
B,afectacion nervioso enfermedades sistema
H,vejiga cuerpo extraño retrobulbar oi
D,benigna craneales nervios
P,farmacos a ictericia toxinas recien nacida neonatal
K,inhibitorio ileo
U,pos coronavirus
E,calcio malformacion
Q,arteria perdida hipoplasico
I,vacunacion
H,eustaquio estenosado estrechamiento bilateral trompa eustaquio trompa
A,brucella micrococcus bacteria gramnegativa brucela febris especies brucela bacillus
Q,congenitas aparato
X,e inmersion piscina inicial ahogamiento
M,sacra regiones infeccion disco
F,parafilia
M,sucesivo colapsada otro consolidacion retardo
S,medio falange dedos derecho fracturas
R,colico
T,inicial toxico inorganica efecto contacto sustancia agresion
J,distres shock sindrome distres respiratorio aguda adultos niños inestabilidad
O,embarazo varices genitales
L,forunculo cuello furunculo divieso
L,cutanea sinus
R,persistente vegetativo permanent state vegetative
M,no osteocondritis
M,articulacion
C,neoplasias malignas tejidos linfoide hemopoýetico relacionados
R,unilateral impalpable
Z,enfermedad deteccion prueba existe oidos ofrecer precedentes puede temprana personas precoz aquellas cribado conocer tratamientos den prueba personas asintomaticas positivo
J,faringitis gripe otros virus
O,afecciones trimestre especificado
V,a inmersion ahogamiento barco e hundimiento inicial pesca
H,cronico iridociclitis ambos
G,inducido tic tics
E,mellitus quimica dcha sustancia retinopatia macula diabetica desprendimiento
T,efecto
C,adenocarcinoma enfermedad mamario paget
G,trastornos extremidades periodico periodico movimiento
P,trastornos metabolismo aminoacidos descritos transitorios
Q,deformidad glaucoma segmento anomalia
P,recien 10002499 mencionadas nacer 2499 nacida patologias otra causa g cuidados especificacion adicionales morbilidad recien nacido peso
Q,pentasomia 48xxxx xxxx 49xxxxx penta xxxxx mujer
F,psicosis afectiva
E,ramificada neom
N,enfermedades utero inflamatoria
O,urinario vacunacion feto linfocitos
G,bacteria tardio
G,superior neuroma interdigital extremidad
R,respuesta momento motora escala
V,jinete inicial contacto
A,tuberculosis ganglios linfaticos
R,miccion orinar
P,otros trastornos nacido musculares
V,inicial colision lesionado transeunte transporte contacto otro peatonal
Q,inguinoescrotal testiculos ambos
U,pulmonar relacionada relacionado daño pulmon electronico lesiones pulmonar dabbing electronico relacionada lesion cigarrillo cigarrillo
N,infarto e
U,microorganismo virus covid sistema respiratorio vhc coronavirus humano
B,vesicular labio dermatitis
E,otros polineuropatia tipos diabetes mellitus diabetica
L,mano carbunculos
Y,mina abierta carbon gravera foso arena lugar acontecimiento causa externo lugar acontecimiento debera registrarse solo contacto inicial tratamientos
Z,empleo
T,inicial intencionalidad
J,parainfluenza virus neumonitis
I,asma cardial izquierdo
H,ciliar implantacion ojo camara cuerpo anterior quiste iris
K,gastrico
C,pelvis cuello maligna
Z,artificial laringe presencia
U,covid 19 pos afeccion
C,cabeza cuello linfoma ganglios difuso
B,miocarditis viral
P,transfusion vacunacion
O,complicaciones multiple especificadas trimestre 1
M,intersticial hombro
M,hueso izquierda
O,gestacion puerperio gestacional inducida hta
E,inflamacion amiodarona iatrogenica tiroides tiroiditis inducido droga inflamatorio
D,adquirida pancitopenia inducida
K,aclorhidria
P,enfermedades hidropesia fetal
U,19 afeccion
J,sustancia obstruccion exacerbacion catarro
S,rodilla
P,encefalopatia
C,facial celulas carcinoma
Q,laringeo
N,trauma ereccion
S,cubital izquierdo
C,blandos extremidad tejido conjuntivo rabdomiosarcoma derecha incluyendo cabeza femoral maligna tejidos
Z,antecedentes neoplasia ovario historia
M,paraparesia derecho miositis osificante
H,seco glandula
L,electromagnetica ligera radiacion otros prurigos luz radiacion radiacion uvr
Q,congenita afaquia
J,tracto
A,uretritis cistitis
F,sanguinea
M,osificante fibrodisplasia
R,nodulo masa generalizado
G,izquierdo lado hemiplejia
V,inicial camioneta transporte pesado contacto lesionado accidente furgoneta vehiculo colision
I,superior braquial extremidad
K,canal anal
F,intoxicacion
E,hipoglucemia
F,disruptiva
G,demencia lewy cuerpos
L,sacra aplastamiento pelvica
R,hostilidad hostilidad
Q,acigos
A,meningoencefalitis parencefalitis mosquitos
S,fracturas condilo humeral capitellum humero fracturas extremo distal humeral derecho
Z,desarticulacion muñecas
F,malformacion bipolar otros
I,hemiplejia cerebrovascular hemiparesia tras
M,osteolisis carpiana pierna
S,no mano trauma inicial contacto
M,artritis reumatoide derecha
F,hipnoticos abstinencia no consumo
F,marihuana hachis l thc
T,multiples manos
A,cervicofacial oral actinomicosis actinomicosis israelii canaliculitis
Y,lesiones antecedentes militar civiles ocurren tiempos paz propiedad militar ejercicios rutina operaciones militares
U,tratado electronicos evali vapeo lesiones relacionado productos pulmon electronico daño asociada cigarrillos pulmon cigarrillo
Z,presencia aorto derivacion coronaria
N,septica embolico nodulo
R,sensacion quemazon
L,atriquia hereditaria
M,disolucion osteoporosis
F,explosiva impulso comportamiento
O,primer complicaciones gestacion anestesia cardiacas otras
J,senos supuracion pleura
H,cortical
J,bajo afecciones otras
T,quemadura corrosiones superficie corporal externa especificadas localizacion izquierdo
M,articulaciones multiples osteocondropatia apofisitis acrostealgia
F,estimulante ansiedad inducido otro
R,secrecion neom anormales anormales hallazgos liquido hallazgos sinovial pezon
A,hepatico visceras sifilis otras
S,desgarro pie s dedos menor
T,primer izquierda
M,izquierda osteoarticulares
O,materna 5
F,disfuncion inducida
N,incarceracion incarcerado alterado mucocele escamosa contraccion superinvolucion hipoplasico laceracion parasimpatica inervacion
G,hemorragica aracnoides estafilococica
J,hipercapnica fallido
C,linfoma b difuso celulas grandes ganglios plasmoblastico
U,daño pulmonar relacionada cigarrillo electronico relacionado
R,inadecuadas hospitalario coma escala
V,volquete pala excavadora
F,necesita
R,incompleta afagia
L,tobillo derecho presion cronica
R,fecales manchado perdidas
E,diabetes resistente operculo ambos insulina diabetica mellitus
U,relacionado vapeo
G,autonomica vegetativo autonomo alterado
R,coma 3 flexion motora 25 doloroso anomala años edad puntuacion nocivos escala postura estimulos
Q,discordante auriculoventricular
L,pelvica isquiatica aplastamiento ulcera presion
F,dependencia intoxicacion opiaceos
A,volhinia wolhynian trincheras his mosa trincheras tibial wolhyniana volhyniana
K,necrosis agudo pancreatitis
U,covid pos 19 afeccion
D,neoplasia
E,mellitus bilateral
I,total cronica arteria coronaria estenosis total
S,fracturas extremo
E,diabeticos otros ncoc mellitus especificados ambos
L,ciento eritemato escamosas 39 afeccion 30 30
M,izquierdo fracturas patologica pies secuela
M,derecha tendon tendon aquiles
G,sindrome dolor regional complejo tipo 2 extremidad superior
Z,tipo otro donante
K,fistulas crohn
Z,cuidados estoma contacto
O,malformacion anafilactoide embarazo tromboembolica embolia
I,derecho ulceracion injerto
H,antecedentes retenido
F,embriaguez alcoholismo aguda
M,fibrosa monostotica antebrazo
J,gases due tejido intersticial bronquiolo by
O,t74 afecciones t76 s00t88 excepto
I,basilar
E,fovea edematoso
G,nervioso multisistemica atrofia multisistemica
T,asfixia inicial respiratorias parte vias
S,traumatismo primer izquierdo
R,nunca apertura
E,albino albinismo
N,pielonefritis cronica asociada estenosis ureter pielonefritis cronico asociada obstruccion ureteral
U,covid secuela 19
I,cerebral estenosis izquierdo
R,hipotermia a hipotermia
L,axila derecha
S,extremidad cubital fractura conminuta diafisis superior
B,orden cyclophyllidea pulmon helminto
U,covid 19 pos afeccion
P,ileo inhibitorio transitorio
K,estreñimiento
B,viral faringoconjuntivitis
E,deficiencias alergica fructosa16difosfatasa
T,vitaminas
O,joven supervision trimestre primero
J,gripe a
I,ulceras inferior derecha extremidad
E,derecha traccion operculo
P,traumatica fracturas
Z,afecciones clasificables q00q89 sido reparadas corregidas
M,tibia patologica rutinarias fracturas sucesivo derecha contacto otras
F,trastorno alcohol otro inducido bebidas alcoholicas necesita
Q,deformidad congenito aparato musculoesqueletico deformidad congenita aparato musculoesqueletico
G,ciclicos vomitos migraña refractaria
G,postoracotomia cronico
R,dolor intercostal intercostal
D,normocitica enzimopatia osea sanguinea hemolitica anemia ureteral
O,otro fetal normociticanormocromica anemia
S,izquierdo transversal arterial seccion femur completa femur
E,izquierdo insulina diabetica resistente diabetica mellitus
Z,pulgar
I,malformacion postrombotico asintomatico sindrome posflebitico hipertenso venosa cronico trombo venosa profunda
D,in exocervix carcinoma
N,vaginal
V,vehiculo otro trafico
Z,hijos pasados actuales crianza relacionados biologicos vida problema problemas padres pasado niño negativos infancia acontecimientos actuales
K,whipple intestinal artropatia whipple
R,hipoproteinemia persistente
C,folicular multiples linfaticos linfoma localizaciones 3 ganglios grado
T,superior vesicula
Q,vulva
C,suprahioidea supraglotis falsas maligno cuerdas supraglotis extrinseca ventriculares
P,dismadurez gestacional 749
H,ectropion izquierdo eversion lacrimal
H,oido bacteria izquierdo
P,recien sustancias afectado nacido nutricionales quimicas
N,ureter calculo
M,condromalacia izquierda
B,irritante candida pañal urogenital infeccion orina sustancia
K,hemorragias duodenal agudo
B,pectoris
C,maligna porcion izquierda mamaria
Q,acortamiento defectos izquierda
K,regiones anal recto supraelevador absceso flemon
C,maligna uretra
C,linfoma difusa celulas b grandes abundantes celulas t linfoma difusa celulas b grandes inmunoblastico
H,depositos cuerpo izquierdo vitrea ojo cristalinos
Z,resistente microorganismo farmaco
U,secuela covid
I,fvf
K,encias
G,neuritis sensorial paraneoplasica denny brown neuromiopatia carcinomatosa neuromiopatia
O,materna hiperpiesis
N,peneano torsion
Q,ampollosa ictiosiforme congenita eritrodermia
K,hernia necrosis anatomico
N,residual ovarico ovario
O,vesical embarazo principalmente primero
C,maligna metastasica ganglios secundaria inferiores neoplasia extremidad linfaticos inguinales
B,herpes zoster
A,septicos piemia septico
B,taenia
Z,extraccion sustitucion otro dispositivo ortodoncia acomodacion ortodoncia
V,camioneta
N,senilidad atrofica no especifica adquirida trompa
F,consumo anfetamina leve estimulante sindrome estimulante otro
G,derecho inferior parestesica
A,enfermedad addison suprarrenales tuberculosa
R,localizados extremidad masa bulto tumefaccion
E,macular bilateral retinopatia quimica
L,localizada hiperhidrosis manos
H,oido rotura otitis espontanea derecho supurativa timpano aguda
U,covid
M,necrosis izquierda hueso hombros previo
G,espinal infeccioso meningoencefalitis
G,hemiplejia derecho espastica a
G,miopatia
Z,vivos sextillizos nacidos
H,agudo cerrado ataque derecho glaucoma comatoso angulo
Q,isomerismo auriculares orejuelas orejuelas
P,tifomalaria paludico congenito
R,abdominopelvica
L,cutaneo derecho pie abceso
G,clasificadas bajo parasitarias infecciosas enfermedades
Q,espina toracica hidrocefalia bifida
A,transmitida mosquitos
N,prostatica ulcerante ulcera
K,autoinmune hepatitis autoinmune
S,no no a especificado traumatismo tendones nivel
M,izquierdo hombros bursitis
P,aspiracion respiratorios neonatal sangre
Z,contacto observacion sospecha ingerida toxico efecto sustancia descarta
D,mioma uterino
C,cutaneas carcinoma basocelular
G,cerebro paraliticos sindromes izquierdo paralitico
R,cabeza localizados
O,flebotrombosis
N,inducida nefropatia toxica
B,polineuropatia otra mononucleosis
O,complicado trabajo parto parto otras cordon
H,neovascularizacion ocular catarata cristalino gato
P,neonatal sindrome
L,ultravioleta acne
D,benigno fibroso pleura
B,mixta nemata clase phylum helmintiasis mixta mixta helmintiasis
B,herpes zoster
A,primaria respiratorio
J,fistula
S,tendon musculo musculares pierna otro nivel
R,mental alterado
E,proteina nutricion malnutricion
